Brand,name,Display,Processor,Weight,Memory,Ram,img-url,Price,URL,Number rating,Average rating
Lenovo,Lenovo ThinkBook 15 G2 ITL i5 1135G7 (20VE00UNVN),"15.6"",FullHD","i5, 1135G7, 2.4GHz",1.7 kg,SSD 512 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/265447/lenovo-thinkbook-15-g2-itl-i5-1135g7-8gb-600x600.jpg,15490000.0,https://www.thegioididong.com/laptop/lenovo-thinkbook-15-g2-itl-i5-20ve00unvn,22.0,4.4
Asus,Asus Vivobook 14 A1405VA i3 1315U (LY097W),"14"",FullHD","Intel Core i3 Raptor Lake, 1315U, 1.2GHz",1.6 kg,SSD 512 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/306104/asus-vivobook-14-a1405va-i3-ly097w-thumb-600x600.jpg,14990000.0,https://www.thegioididong.com/laptop/asus-vivobook-14-a1405va-i3-ly097w,,
Lenovo,Lenovo V15 G3 IAP i5 1235U (82TT0064VN),"15.6"",FullHD","i5, 1235U, 1.3GHz",1.7 kg,SSD 512 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/299798/lenovo-v15-g3-iap-i5-82tt0064vn-180123-115803-600x600.jpg,14890000.0,https://www.thegioididong.com/laptop/lenovo-v15-g3-iap-i5-82tt0064vn,4.0,5.0
Acer,Acer Aspire 3 A315 59 5283 i5 1235U (NX.K6TSV.00B),"15.6"",FullHD","i5, 1235U, 1.3GHz",1.7 kg,SSD 512 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/304543/acer-aspire-3-a315-59-5283-i5-nxk6tsv00b-thumb-600x600.jpg,14490000.0,https://www.thegioididong.com/laptop/acer-aspire-3-a315-59-5283-i5-nxk6tsv00b,,
HP,HP Pavilion X360 14 ek0059TU i3 1215U (6K7E1PA),"14"",FullHD","i3, 1215U, 1.2GHz",1.517 kg,SSD 256 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/291158/TimerThumb/hp-pavilion-x360-14-ek0059tu-i3-6k7e1pa.jpg,14390000.0,https://www.thegioididong.com/laptop/hp-pavilion-x360-14-ek0059tu-i3-6k7e1pa,8.0,4.1
Lenovo,Lenovo V14 G3 IAP i5 1235U (82TS005RVN),"14"",FullHD","i5, 1235U, 1.3GHz",1.43 kg,SSD 256 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/299801/lenovo-v14-g3-iap-i5-82ts005rvn-thumb-600x600.jpg,14190000.0,https://www.thegioididong.com/laptop/lenovo-v14-g3-iap-i5-82ts005rvn,2.0,4.0
MSI,MSI Modern 15 A5M R7 5700U (237VN),"15.6"",FullHD","Ryzen 7, 5700U, 1.8GHz",1.6 kg,SSD 512 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/263792/msi-modern-15-a5m-r7-237vn-021221-110854-600x600.jpg,13990000.0,https://www.thegioididong.com/laptop/msi-modern-15-a5m-r7-237vn,27.0,4.5
Asus,Asus VivoBook 15X OLED A1503ZA i3 1220P (L1152W),"15.6"",FullHD","i3, 1220P, 1.1GHz",1.7 kg,SSD 256 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/285077/TimerThumb/asus-vivobook-15x-oled-a1503za-i3-l1152w.jpg,13990000.0,https://www.thegioididong.com/laptop/asus-vivobook-15x-oled-a1503za-i3-l1152w,27.0,4.6
MSI,MSI Modern 14 C7M R5 7530U (083VN),"14"",FullHD","Ryzen 5, 7530U, 2GHz",1.4 kg,SSD 512 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/305768/msi-modern-14-c7m-r5-083vn-thumb-600x600.jpg,13990000.0,https://www.thegioididong.com/laptop/msi-modern-14-c7m-r5-083vn,,
HP,HP 14s fq1065AU R5 5500U (4K0Z5PA),"14"",HD","Ryzen 5, 5500U, 2.1GHz",1.47 kg,SSD 512 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/270722/hp-14s-fq1065au-r5-4k0z5pa-win11-170222-025728-600x600.jpg,13790000.0,https://www.thegioididong.com/laptop/hp-14s-fq1065au-r5-4k0z5pa-win11,14.0,4.1
Dell,Dell Vostro 3520 i3 1215U (V5I3614W1),"15.6"",FullHD,120Hz","i3, 1215U, 1.2GHz",1.83 kg,SSD 256 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/305655/dell-vostro-3520-i3-v5i3614w1-thumb-600x600.jpg,13490000.0,https://www.thegioididong.com/laptop/dell-vostro-3520-i3-v5i3614w1,2.0,5.0
Itel,Itel Spirit 2 i5 1155G7 (71006300202),"15.6"",FullHD","i5, 1155G7, 2.5GHz",1.7 kg,SSD 512 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/300000/itel-spirit-2-i5-71006300202-thumb-600x600.jpg,12990000.0,https://www.thegioididong.com/laptop/itel-spirit-2-i5-71006300202,,
Acer,Acer Aspire 3 A315 58 589K i5 1135G7 (NX.AM0SV.008),"15.6"",FullHD","i5, 1135G7, 2.4GHz",1.7 kg,SSD 256 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/305600/acer-aspire-3-a315-58-589k-i5-nxam0sv008-thumb-600x600.jpg,12990000.0,https://www.thegioididong.com/laptop/acer-aspire-3-a315-58-589k-i5-nxam0sv008,3.0,5.0
Acer,Acer Aspire 5 A514 54 5127 i5 1135G7 (NX.A28SV.007),"14"",FullHD","i5, 1135G7, 2.4GHz",1.46 kg,SSD 512 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/271044/acer-aspire-a514-54-5127-i5-nxa28sv007-thumb-600x600.jpg,12890000.0,https://www.thegioididong.com/laptop/acer-aspire-a514-54-5127-i5-nxa28sv007,18.0,4.2
HP,HP Pavilion 15 eg2086TU i3 1215U (7C0Q8PA),"15.6"",FullHD","i3, 1215U, 1.2GHz",1.74 kg,SSD 256 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/302207/hp-pavilion-15-eg2086tu-i3-7c0q8pa-050223-080308-600x600.jpg,12890000.0,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2086tu-i3-7c0q8pa,7.0,4.0
HP,HP Pavilion 15 eg2062TU i3 1215U (6K790PA),"15.6"",FullHD","i3, 1215U, 1.2GHz",1.74 kg,SSD 256 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/285966/TimerThumb/hp-pavilion-15-eg2062tu-i3-6k790pa.jpg,12690000.0,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2062tu-i3-6k790pa,18.0,4.3
Acer,Acer Aspire 3 A315 59 38PG i3 1215U (NX.K6TSV.00A),"15.6"",FullHD","i3, 1215U, 1.2GHz",1.7 kg,SSD 512 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/302485/acer-aspire-3-a315-59-38pg-i3-nxk6tsv00a-thumb-600x600.jpg,11490000.0,https://www.thegioididong.com/laptop/acer-aspire-3-a315-59-38pg-i3-nxk6tsv00a,4.0,4.2
HP,HP 240 G8 i3 1005G1 (519A8PA),"14"",FullHD","i3, 1005G1, 1.2GHz",1.47 kg,SSD 512 GB,RAM 4 GB,https://cdn.tgdd.vn/Products/Images/44/255264/hp-240-g8-i3-519a8pa-021121-045431-600x600.jpg,10590000.0,https://www.thegioididong.com/laptop/hp-240-g8-i3-519a8pa,20.0,3.9
Acer,Acer Aspire 3 A315 58 358E i3 1115G4 (NX.ADDSV.00F),"15.6"",FullHD","i3, 1115G4, 3GHz",1.7 kg,SSD 512 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/285960/acer-aspire-3-a315-58-358e-i3-nxaddsv00f-thumb-600x600.jpg,10290000.0,https://www.thegioididong.com/laptop/acer-aspire-3-a315-58-358e-i3-nxaddsv00f,13.0,4.5
Itel,Itel Spirit 2 i3 1115G4 (71006300240),"15.6"",FullHD","i3, 1115G4, 3GHz",1.7 kg,SSD 256 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/299999/itel-spirit-2-i3-71006300240-040123-105717-600x600.jpg,10290000.0,https://www.thegioididong.com/laptop/itel-spirit-2-i3-71006300240,,
CHUWI,CHUWI CoreBook X i5 8259U,"14"",2K","i5, 8259U, 2.30 GHz",1.5 kg,SSD 512 GB,RAM 16 GB,https://cdn.tgdd.vn/Products/Images/44/270142/TimerThumb/chuwi-corebook-x-i5-8259u-(34).jpg,9490000.0,https://www.thegioididong.com/laptop/chuwi-corebook-x-i5-8259u,15.0,4.4
Acer,Acer Aspire 3 A314 35 P3G9 N6000 (NX.A7SSV.007),"14"",HD","Pentium, N6000, 1.1GHz",1.45 kg,SSD 256 GB,RAM 4 GB,https://cdn.tgdd.vn/Products/Images/44/274136/acer-aspire-3-a314-35-p3g9-n6000-4gb-256gb-090322-050700-600x600.jpg,7290000.0,https://www.thegioididong.com/laptop/acer-aspire-3-a314-35-p3g9-n6000-nxa7ssv007,6.0,4.5
CHUWI,CHUWI GemiBook J4125,"13"",2K","Celeron, J4125, 2GHz",1.34 kg,SSD 256 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/270166/TimerThumb/chuwi-gemibook-j4125-(14).jpg,6690000.0,https://www.thegioididong.com/laptop/chuwi-gemibook-j4125,37.0,4.3
itel,itel SPIRIT 1 i5 8259U (71006300036),"15.6"",FullHD","i5, 8259U, 2.30 GHz",2.1 kg,SSD 256 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/265532/TimerThumb/265532-2.png,5990000.0,https://www.thegioididong.com/laptop/itel-spirit-1-i5-71006300036,33.0,4.3
CHUWI,CHUWI LarkBook X N5100,"14"",2K","Celeron, N5100, 1.1 Ghz",1.4 kg,SSD 256 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/270141/TimerThumb/chuwi-larkbook-x-n5100-(16).jpg,5690000.0,https://www.thegioididong.com/laptop/chuwi-larkbook-x-n5100,10.0,4.1
Masstel,Masstel E140 N4120,"14"",HD","Celeron, N4120, 1.1GHz",1.35 kg,SSD 128 GB,RAM 4 GB,https://cdn.tgdd.vn/Products/Images/44/302951/TimerThumb/masstel-e140-n4120-(4).jpg,5490000.0,https://www.thegioididong.com/laptop/masstel-e140-n4120,2.0,4.0
itel,itel SPIRIT 1 i3 8109U (71006300035),"15.6"",FullHD","i3, 8109U, 3GHz",2.1 kg,SSD 256 GB,RAM 4 GB,https://cdn.tgdd.vn/Products/Images/44/265530/TimerThumb/265530.png,4990000.0,https://www.thegioididong.com/laptop/itel-spirit-1-i3-71006300035,35.0,4.3
Masstel,Masstel E116 N4020,"11.6"",HD","Celeron, N4020, 1.1GHz",0.92 kg,eMMC 128 GB,RAM 4 GB,https://cdn.tgdd.vn/Products/Images/44/302950/TimerThumb/masstel-e116-n4020-(4).jpg,3990000.0,https://www.thegioididong.com/laptop/masstel-e116-n4020,10.0,4.1
